4,4,0,0,-0.197206
4,2,0,0,-0.166676
4,7,0,0,-0.158964
4,9,0,0,-0.631395
4,6,0,0,0.0446734
17,8,1,1,-0.382146
5,2,0,0,-0.420649
15,4,1,1,-0.104
6,7,0,0,-0.219799
16,7,1,1,-0.438017
17,2,1,1,-0.16443
7,8,0,0,-0.577141
20,5,1,1,0.678862
16,6,1,1,-0.0857143
8,4,0,0,0.0984249
6,9,0,0,-0.821576
20,1,1,1,0.0946565
6,6,0,0,0.0253335
15,3,1,1,-0.439394
17,7,1,1,-0.0737018
4,8,0,0,-0.443102
5,5,0,0,-0.123156
19,4,1,1,0.407492
17,4,1,1,-0.0120069
6,3,0,0,-0.312749
16,9,1,1,-0.574007
16,8,1,1,-0.47486
6,2,0,0,-0.251548
4,1,0,0,-1.3393
6,1,0,0,-1.36644
16,5,1,1,-0.2
7,9,0,0,-0.656567
18,3,1,1,0.156146
16,1,1,1,-0.800322
16,3,1,1,-0.238806
5,8,0,0,-0.689921
15,1,1,1,-0.791225
18,8,1,1,0.13079
7,4,0,0,-0.232004
7,6,0,0,0.100117
16,2,1,1,-0.391304
5,4,0,0,-0.350217
18,7,1,1,0.223881
5,9,0,0,-0.773555
4,10,0,0,-0.780773
10,6,0,0,0.549867
19,7,1,1,0.595945
19,5,1,1,0.508403
5,1,0,0,-1.45817
9,2,0,0,0.149871
11,1,0,0,-0.351445
4,5,0,0,0.0521306
17,9,1,1,-0.354839
20,8,1,1,0.790323
20,3,1,1,0.65156
17,1,1,1,-0.674208
8,6,0,0,0.129332
15,7,1,1,-0.419355
7,2,0,0,-0.293072
19,2,1,1,0.407002
6,8,0,0,-0.585332
7,3,0,0,-0.315576
21,5,1,1,0.892407
15,8,1,1,-0.539823
9,5,0,0,0.350419
8,5,0,0,0.265741
18,2,1,1,-0.0314465
5,7,0,0,-0.186973
10,8,0,0,0.352331
20,9,1,1,0.78209
9,6,0,0,0.345633
5,3,0,0,-0.39953
6,10,0,0,-0.854601
7,7,0,0,-0.171288
14,10,1,1,-0.597884
16,4,1,1,-0.119565
10,7,0,0,0.491252
18,5,1,1,0.133333
18,1,1,0,-0.642767
17,4,0,1,-0.0512063
17,3,1,0,0.0471368
16,6,0,1,-0.183869
19,1,1,1,-0.0971599
10,2,0,0,0.374973
17,6,1,1,0.142857
17,10,1,1,-0.44333
18,10,1,0,-0.448457
18,3,0,1,0.134968
19,5,1,0,0.215135
18,8,0,1,0.100043
18,8,1,0,-0.0294615
18,1,0,1,-0.37138
18,1,1,1,-0.40416
20,4,1,1,0.672308
12,3,1,0,0.0646379
11,6,0,1,-0.0974359
19,4,0,0,-0.750379
4,2,0,1,-0.346154
11,10,0,0,0.00446335
17,3,1,1,-0.268293
20,2,1,1,0.651886
21,6,1,1,0.900517
15,1,1,0,-1.21913
14,4,0,1,-0.184838
14,8,1,1,-0.540984
21,9,0,1,0.93276
18,6,1,0,0.317278
